"survey.id","species","sitename","site.id","survey.conducted","year","date","day","month","occurnotes","obsaffil","effortsource_desc","effortsource","effortmethod_desc","countyname","lat","lon","accuracy_desc","locaccuracy","wdfwregion","owlsitecenter_desc","owlsitecenter","count","data.type","age","individual.id","duration","time.to.detect","pass.id","survey.pass"
262,"RACA",NA,213,1,1995,"7/17/1995",17,7,"T10N R06E S13 NENW / ELEV 3800 FT :  ","HANSEN, D/USFS",NA,NA,"Ground","Skamania",46.357518,-122.0043867,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"262_1"
263,"RACA",NA,214,1,1995,"8/6/1995",6,8,"T10N R06E S12 SENW / ELEV 3500 FT/ JCT OF FOURMILE CRK & 043 RD, S OF CRK AND RD :  ","HANSEN, D/USFS",NA,NA,"Ground","Skamania",46.36771152,-122.000741,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"263_1"
264,"RACA",NA,215,1,1995,"6/19/1995",19,6,"T10N R07E S05 NWNE / ELEV 3100 FT / W OF JCTS OF 7708 & 047 RDS, W SIDE OF 7708 RD :  ","HANSEN, D/USFS",NA,NA,"Ground","Skamania",46.38785674,-121.9599235,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"264_1"
265,"RACA",NA,216,1,1993,"8/17/1993",17,8,"POND #3, T10NR11ES06NWNW, WALUPT WABBIT SALE AREADEEPER POND, STEEPER BANKS AND MORE WOOD THAN POND #1 AND 2.:  ","KOGUT, T/USFS;BOWERS, D/USFS",NA,NA,"Ground","Yakima",46.3883456,-121.4929334,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"265_1"
266,"RACA",NA,217,1,1995,"7/11/1995",11,7,"T11N R07E S32 SWSE / ELEV 3700 FT :  ","HANSEN, D/USFS",NA,NA,"Ground","Lewis",46.38903324,-121.9547389,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"266_1"
267,"RACA",NA,218,1,1994,"7/7/1994",7,7,"T11NR11ES35SESE :  ","KOGUT, T/USFS",NA,NA,"Ground","Lewis",46.39017746,-121.3960836,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"267_1"
268,"RACA",NA,219,1,1993,"8/17/1993",17,8,"POND #2, T11NR11ES31SWSW, WALUPT WABBIT SALE AREA : SHALLOW POND, LOTS OF EGG MASSES AND TADPOLES","BOWERS, D/USFS;KOGUT, T/USFS",NA,NA,"Ground","Lewis",46.39125453,-121.4922055,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"268_1"
269,"RACA",NA,220,1,1993,"8/17/1993",17,8,"POND #1, T11NR11ES31SWSW : SHALLOW POND, LOTS OF EGG MASSES AND TADPOLES","BOWERS, D/USFS;KOGUT, T/USFS",NA,NA,"Ground","Lewis",46.39168546,-121.4956853,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"269_1"
270,"RACA",NA,221,1,1995,"1/1/1995",NA,NA,"T11N R07E S33 NWSE / ELEV 3500 FT / JCT OF 77 RD & JEFFERSON CRK :  ","HANSEN, D/USFS",NA,NA,"Ground","Lewis",46.39276714,-121.9362322,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"270_1"
271,"RACA",NA,222,1,1990,"5/12/1990",12,5,"QUARTZ CRK BIG TREES, FOREST SVC RD 2608, 1 MI OFF FOREST SVC RD 26, 11 MISW OF RANDLE (T11N R6E S32):  ","DARDA, D/CENTRAL WASHINGTON UNIV",NA,NA,"Ground","Lewis",46.393396,-122.0745675,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"271_1"
272,"RACA",NA,223,1,1994,"6/17/1994",17,6,"T11N R10E S31 NESW / ELEV 4850 FT / MUD LAKE :  ","LENHART, J/UNKNOWN",NA,NA,"Ground","Lewis",46.39488073,-121.6173512,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"272_1"
273,"RACA",NA,224,1,1994,"7/26/1994",26,7,"T11N R07E S34 NWNW / ELEV 3000 FT / JCT 0F 065 RD & TRIBUTARY OF GREENHORN CRK :  ","HANSEN, D/USFS",NA,NA,"Ground","Lewis",46.4021091,-121.926416,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"273_1"
274,"RACA",NA,225,1,1994,"6/17/1994",17,6,"T11N R09E S26 SESW / ELEV 3700 FT / JCT OF 690 RD & ROBBER CRK :  ","HANSEN, D/USFS",NA,NA,"Ground","Lewis",46.40512418,-121.6550125,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"274_1"
275,"RACA",NA,226,1,1994,"7/6/1994",6,7,"T11N R08E S27 NESW / ELEV 2250 FT / JCT OF HIGH BRIDGE & 29 RD :  ","HANSEN, D/USFS",NA,NA,"Ground","Lewis",46.41053835,-121.8039971,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"275_1"
276,"RACA",NA,227,1,1994,"7/26/1994",26,7,"T11N R07E S28 NENW / ELEV 3000 FT / JCT OF 064 RD & NASH CRK :  ","HANSEN, D/USFS",NA,NA,"Ground","Lewis",46.41376548,-121.9412497,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"276_1"
277,"RACA",NA,228,1,1994,"6/24/1994",24,6,"T11N R08E S27 NENE / ELEV 2340 FT : 7 ADULTS, 1 HATCHLING","LENHART, J/UNKNOWN",NA,NA,"Ground","Lewis",46.41619714,-121.794758,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"277_1"
278,"RACA",NA,229,1,1994,"7/26/1994",26,7,"T11N R07E S21 NESE / ELEV 2500 FT / JCT OF 77 RD & FALLS CREEK :  ","HANSEN, D/USFS",NA,NA,"Ground","Lewis",46.42231457,-121.9313107,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"278_1"
279,"RACA",NA,230,1,1994,"6/17/1994",17,6,"T11N R09E S21 NWNW / ELEV 4200 FT / N END OF POND :  ","LENHART, J/UNKNOWN",NA,NA,"Ground","Lewis",46.43249114,-121.7038472,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"279_1"
280,"RACA",NA,231,1,1979,"8/4/1979",4,8,"SHEEP LAKE, ELEV. 5680'IN GOAT ROCKS WILDERNESS AREA:  ","CHASE, D/WDFW;JACKMAN, R/WDFW",NA,NA,"Ground","Lewis",46.43380912,-121.4431399,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"280_1"
281,"RACA",NA,232,1,1993,"8/2/1993",2,8,"SHEEP LAKE, T11NR11ES10SWNE : PACKWOOD RANGER DISTRICT LONG-TERM MONITORING, TADPOLES AND 1 ADULT","KOGUT, T/USFS",NA,NA,"Ground","Lewis",46.45165896,-121.4321204,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"281_1"
282,"RACA",NA,233,1,1997,"5/20/1997",20,5,"TRIB OF AHTANUM : 2 ADULT","REISS, Y/UNKNOWN",NA,NA,"Ground","Yakima",46.45990584,-121.0571624,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"282_1"
283,"RACA","CHAMBERS LAKE AREA 18.25 MI. N OF MT. ADAMS",234,1,2016,"9/1/2016",1,9,NA,"LAYMAN, J/WDFW;YOUNG, K/WDFW;NEWMAN, T/WDFW","WDFW survey",20,"Ground","Lewis",46.46533838,-121.5327512,"GPS",10,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"283_1"
284,"RACA",NA,235,1,1993,"8/18/1993",18,8,"JACKPOT LAKE, T11NR09ES04E 1/2 OF SW : PACKWOOD RANGER DISTRICT LONG-TERM MONITORING","BOWERS, D/USFS",NA,NA,"Ground","Lewis",46.46725078,-121.6982639,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"284_1"
285,"RACA",NA,236,1,1979,"7/21/1979",21,7,"T11NR12ES06, NEAR SHORE OF SURPRISE LAKE :  ","HICHCOCK, M/UNKNOWN",NA,NA,"Ground","Yakima",46.47111633,-121.3579045,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"285_1"
286,"RACA",NA,237,1,1901,"1/1/1901",NA,NA,"  : 
","MULLENIX, J/UNKNOWN",NA,NA,"Ground","Lewis",46.47616785,-121.7163361,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"286_1"
287,"RACA",NA,238,1,1994,"7/10/1994",10,7,"T11NR09ES05NENW : ADULTS","KOGUT, T/USFS",NA,NA,"Ground","Lewis",46.4769944,-121.7166155,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"287_1"
288,"RACA",NA,239,1,1993,"7/27/1993",27,7,"JORDAN CREEK, T12NR10ES33NENE : PACKWOOD RANGER DISTRICT LONG-TERM MONITORING","KOGUT, T/USFS",NA,NA,"Ground","Lewis",46.49401769,-121.5675429,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"288_1"
289,"RACA",NA,240,1,1917,"9/15/1917",15,9,"CONRAD MEADOWS : JUVENILE","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.50222955,-121.2952774,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"289_1"
290,"RACA",NA,240,1,1917,"9/15/1917",15,9,"CONRAD MEADOWS : FEMALE;","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.50222955,-121.2952774,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"290_1"
291,"RACA",NA,240,1,1917,"9/15/1917",15,9,"CONRAD MEADOWS : FEMALE;","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.50222955,-121.2952774,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"291_1"
292,"RACA",NA,241,1,1993,"8/18/1993",18,8,"SMITH CREEK BEAVER PONDS, T12NR09RS22NESW : PACKWOOD RANGER DISTRICT LONG-TERM MONITORING","BOWERS, D/USFS",NA,NA,"Ground","Lewis",46.51587353,-121.6710963,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"292_1"
293,"RACA","LILY BASIN",242,1,2022,"8/5/2022",5,8,"N A STREAM ON THE GOAT ROCK LAKE HIKING LOOP WITHIN LILY BASIN","ANONYMOUS/PRIVATE","Other incidental",40,"Ground","Lewis",46.51706,-121.47453,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"293_1"
294,"RACA",NA,243,1,1993,"8/1/1993",1,8,"T12NR12ES10, WATER CHANCE NE BEAR CR. RD 1040 :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.54410598,-121.3027962,"1 mile (Section)",5280,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"294_1"
295,"RACA",NA,243,1,1993,"8/1/1993",1,8,"T12NR12ES10, BEAR CR. TIB. .5 MI FROM END 1040 :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.54410598,-121.3027962,"1 mile (Section)",5280,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"295_1"
296,"RACA",NA,244,1,1992,"7/22/1992",22,7,"T12NR11E SEC 3 SE, NACHES RANGER DISTRICT :  ","DARDA, D/CENTRAL WASHINGTON UNIV",NA,NA,"Ground","Lewis",46.54816081,-121.4222404,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"296_1"
297,"RACA",NA,245,1,1992,"7/22/1992",22,7,"T12NR11E SEC 2 SW, NACHES RANGER DISTRICT :  ","DARDA, D/CENTRAL WASHINGTON UNIV",NA,NA,"Ground","Yakima",46.55111585,-121.4140225,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"297_1"
298,"RACA",NA,246,1,1994,"8/16/1994",16,8,"T12N R07E S05 SENE / ELEV 2100 FT / JCT OF MILLER CRK & 7534 RD :  ","HANSEN, D/USFS",NA,NA,"Ground","Lewis",46.55471854,-121.9540633,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"298_1"
299,"RACA",NA,247,1,1990,"9/5/1990",5,9,"SECTION 3 LAKE (T12NR12E SEC 3 SW) :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.55741578,-121.3097623,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"299_1"
300,"RACA",NA,247,1,1993,"8/1/1993",1,8,"T12NR12ES03, SECTION 3 LAKE :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.55741578,-121.3097623,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"300_1"
301,"RACA",NA,248,1,1992,"7/22/1992",22,7,"T12NR11E SEC 2 NE, NACHES RANGER DISTRICT :  ","DARDA, D/CENTRAL WASHINGTON UNIV",NA,NA,"Ground","Yakima",46.5620547,-121.3994759,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"301_1"
302,"RACA",NA,249,1,1997,"1/1/1997",NA,NA,"T13N R14E S32 SWSW/SMALL TRIB OF SOUTH FORK COWICHE CREEK :  ","ROSS, Y/WADNR",NA,NA,"Ground","Yakima",46.56520189,-121.1119774,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"302_1"
303,"RACA",NA,250,1,1994,"1/1/1994",NA,NA,"RAINEY CREEK, SITE 001. QUAD: 4612251 : 1 ANIMAL.","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.56888372,-122.1122096,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"303_1"
304,"RACA","NORTH FORK TIETON RIVER",251,1,2018,"7/30/2018",30,7,NA,"SHAH, J/USFS","Other survey",30,"Ground","Yakima",46.57284037,-121.3585392,"GPS",10,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"304_1"
305,"RACA",NA,252,1,1992,"8/5/1992",5,8,"T13NR13E SEC 29 SW, NACHES RANGER DISTRICT :  ","DARDA, D/CENTRAL WASHINGTON UNIV",NA,NA,"Ground","Yakima",46.5796004,-121.2388171,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"305_1"
306,"RACA",NA,253,1,1995,"4/26/1995",26,4,"TALUS SLOPES, SITE TAL002MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","VAUGHAN, M/UNKNOWN;BOSAKOWSKI, T/USFS",NA,NA,"Ground","Lewis",46.57994539,-121.9909696,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"306_1"
307,"RACA",NA,254,1,1993,"7/18/1993",18,7,"T13NR12ES25, INDIAN SPRING DOWNSTREAM 1207-830 RD. :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.5832892,-121.2721725,"1 mile (Section)",5280,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"307_1"
308,"RACA",NA,255,1,1996,"5/1/1996",1,5,"T13N R05E S25 SWNW / ELEV 3000 FT : 4 ADULTS","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.58388693,-122.1325168,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"308_1"
309,"RACA",NA,256,1,1993,"7/4/1993",4,7,"T13NR13ES25, BUCKHORN MEADOW EAST OF RD. 1206 :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.58809946,-121.1467123,"1 mile (Section)",5280,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"309_1"
310,"RACA",NA,256,1,1993,"7/4/1993",4,7,"T13NR13ES25, SPRING NEXT TO UNNAMED RD. BUCKHORN :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.58809946,-121.1467123,"1 mile (Section)",5280,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"310_1"
311,"RACA",NA,257,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET010MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","VAUGHAN, M/UNKNOWN;BOSAKOWSKI, T/USFS",NA,NA,"Ground","Lewis",46.58837442,-122.1317604,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"311_1"
312,"RACA",NA,258,1,2006,"9/8/2006",8,9,NA,"BRUCE, A/WEST FORK TIMBER","Other survey",30,"Ground","Lewis",46.58844627,-122.0171205,"1/8 mile (Quarter/Quarter Section)",660,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"312_1"
313,"RACA",NA,259,1,1996,"5/1/1996",1,5,"T13N R06E S22 SESE / ELEV 3800 FT : PRESENT","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.59088607,-122.034499,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"313_1"
314,"RACA",NA,260,1,1992,"8/5/1992",5,8,"T13NR13E SEC 28 NW, NACHES RANGER DISTRICT :  ","DARDA, D/CENTRAL WASHINGTON UNIV",NA,NA,"Ground","Yakima",46.59116747,-121.2203778,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"314_1"
315,"RACA",NA,261,1,1994,"1/1/1994",NA,NA,"KIONA CREEK, SITE 001. QUAD: 4612251 : 5 ANIMALS.","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.59145571,-122.0342167,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"315_1"
316,"RACA",NA,262,1,1996,"5/1/1996",1,5,"T13N R06E S22 SWNE / ELEV 3740 FT : 9 ADULTS","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.59867682,-122.037942,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"316_1"
317,"RACA",NA,263,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET014MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","BOSAKOWSKI, T/USFS;VAUGHAN, M/UNKNOWN",NA,NA,"Ground","Lewis",46.59870461,-122.0223413,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"317_1"
318,"RACA",NA,264,1,1991,"8/1/1991",1,8,"T13NR06ES21NESE : ADULT-SIZED FROGS","KUNZE, L/WADNR;WDNR: WNHP/UNKNOWN",NA,NA,"Ground","Lewis",46.59924202,-122.0672079,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"318_1"
319,"RACA",NA,265,1,1996,"5/1/1996",1,5,"T13N R07E S19 SENW / ELEV 3160 FT : 1 ADULT, 48 EGG MASSES","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.59953097,-121.9828965,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"319_1"
320,"RACA",NA,266,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET008MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","BOSAKOWSKI, T/USFS;VAUGHAN, M/UNKNOWN",NA,NA,"Ground","Lewis",46.59965728,-121.9829915,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"320_1"
321,"RACA",NA,267,1,1996,"5/1/1996",1,5,"T13N R07E S24 SENW / ELEV 3400 FT : 30 ADULTS, 10 EGG MASSES","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.60037327,-122.0055247,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"321_1"
322,"RACA",NA,268,1,1993,"8/1/1993",1,8,"T13NR13ES21, BEAVER POND IN CEDAR CR. 1241-750 :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.60438154,-121.2148392,"1 mile (Section)",5280,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"322_1"
323,"RACA",NA,269,1,1994,"1/1/1994",NA,NA,"EAST FORK TILTON, SITE 001. QUAD: 4612251 : 1 ANIMAL.","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.60473586,-122.1245595,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"323_1"
324,"RACA",NA,270,1,1994,"1/1/1994",NA,NA,"EAST FORK TILTON, SITE 004. QUAD: 4612251 : 1 ANIMAL.","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.60608,-122.1186223,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"324_1"
325,"RACA",NA,271,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET013MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","BOSAKOWSKI, T/USFS;VAUGHAN, M/UNKNOWN",NA,NA,"Ground","Lewis",46.60860442,-122.0703514,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"325_1"
326,"RACA",NA,272,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET003MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","BOSAKOWSKI, T/USFS;VAUGHAN, M/UNKNOWN",NA,NA,"Ground","Lewis",46.61004019,-122.0552855,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"326_1"
327,"RACA",NA,273,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET004MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","VAUGHAN, M/UNKNOWN;BOSAKOWSKI, T/USFS",NA,NA,"Ground","Lewis",46.61010186,-122.0585149,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"327_1"
328,"RACA",NA,274,1,1993,"7/25/1993",25,7,"T13NR14ES17, CATCH BASIN NORTH OF RD 1205 :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.61089256,-121.11121,"1 mile (Section)",5280,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"328_1"
329,"RACA",NA,275,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET006MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","BOSAKOWSKI, T/USFS;VAUGHAN, M/UNKNOWN",NA,NA,"Ground","Lewis",46.61181885,-122.0117322,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"329_1"
330,"RACA",NA,276,1,1996,"5/1/1996",1,5,"T13N R06E S17 SENW / ELEV 3760 FT : 4 ADULTS, 3 EGG MASSES","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.61449533,-122.0881778,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"330_1"
331,"RACA",NA,277,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET011MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","BOSAKOWSKI, T/USFS;VAUGHAN, M/UNKNOWN",NA,NA,"Ground","Lewis",46.61452527,-122.0114255,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"331_1"
332,"RACA",NA,278,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET007MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","VAUGHAN, M/UNKNOWN;BOSAKOWSKI, T/USFS",NA,NA,"Ground","Lewis",46.61461482,-122.0188748,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"332_1"
333,"RACA",NA,279,1,1993,"7/25/1993",25,7,"T13NR14ES17, BEAVER POND OFF RD. 1205, PAST 742 :  ","LEINGANG, C/USFS",NA,NA,"Ground","Yakima",46.61501268,-121.1092665,"1 mile (Section)",5280,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"333_1"
334,"RACA",NA,280,1,1996,"5/1/1996",1,5,"T13N R06E S15 NENE / ELEV 2740 FT : PRESENT","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.6173163,-122.0360259,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"334_1"
335,"RACA",NA,281,1,1996,"5/1/1996",1,5,"T13N R06E S15 NENE / ELEV 2840 FT : 5 ADULTS, 7 EGG MASSES","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.61770563,-122.0329402,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"335_1"
336,"RACA",NA,282,1,1993,"8/18/1993",18,8,"POND @ CATTLE GUARD : 1 JUV","MCALLISTER, K/WDFW",NA,NA,"Ground","Yakima",46.61939695,-121.1239017,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"336_1"
337,"RACA",NA,282,1,1993,"8/19/1993",19,8,"POND @ CATTLE GUARD : 1 AD","MCALLISTER, K/WDFW",NA,NA,"Ground","Yakima",46.61939695,-121.1239017,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"337_1"
338,"RACA",NA,283,1,1999,"8/19/1999",19,8,"  : 9 ADULTS","DARDA, D/CENTRAL WASHINGTON UNIV",NA,NA,"Ground","Yakima",46.6194387,-121.2370185,"1/4 mile (Quarter Section)",1320,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"338_1"
339,"RACA",NA,284,1,1995,"4/26/1995",26,4,"WETLANDS, SITE WET002MURRAY PACIFIC SURVEY OF THE MINERAL TREE FARM:  ","VAUGHAN, M/UNKNOWN;BOSAKOWSKI, T/USFS",NA,NA,"Ground","Lewis",46.61963509,-122.1469384,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"339_1"
340,"RACA",NA,285,1,1996,"5/1/1996",1,5,"T13N R06E S11 SWSE / ELEV 2920 FT : 5 ADULTS, 1 EGG MASS","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.6197766,-122.018848,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"340_1"
341,"RACA",NA,286,1,1996,"5/1/1996",1,5,"T13N R05E S11 SWSE / ELEV 2420 FT : 7 ADULTS, 4 EGG MASSES","BEAK-CONSULTANTS/BEAK CONSULTANTS",NA,NA,"Ground","Lewis",46.62058383,-122.1463063,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"341_1"
342,"RACA",NA,287,1,2013,"6/1/2013",1,6,NA,"HOLMAN, E/WDFW;HALLOCK, L/WDFW",NA,NA,"Ground","Yakima",46.62089462,-121.1279738,"GPS",10,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"342_1"
